-------------------------------------------------------------------------

T0   T1   T2   T3   T4   
#########################################################################

28   12   20   8   30   
40   2   6   2   26   
46   0   22   28   14   
48   2   20   44   28   
4   36   26   48   32   
38   8   8   14   38   
14   8   28   26   44   
44   36   42   0   6   
24   6   14   40   46   
22   2   30   6   18   
46   32   16   10   2   
34   34   8   16   28   
38   6   38   12   38   
36   14   40   2   34   
46   48   6   32   6   
30   10   22   6   24   
34   38   28   42   20   
26   36   2   32   18   
48   2   28   2   6   
24   34   18   26   6   
20   30   20   44   2   
46   34   28   10   38   
42   14   2   18   10   
12   40   18   8   34   
4   28   2   0   2   
18   30   46   6   28   
12   44   10   22   8   
22   2   40   28   36   
44   42   24   46   2   
42   40   22   28   32   
6   40   36   20   46   
44   28   38   8   22   
40   10   10   10   34   
28   30   18   38   40   
20   48   28   14   44   
16   34   48   2   22   
34   22   18   10   16   
30   32   2   4   6   
4   20   36   14   48   
46   2   38   26   36   
46   0   28   18   16   
44   18   8   14   46   
2   48   20   30   30   
18   30   26   22   42   
2   30   18   6   6   
44   40   20   34   32   
6   40   26   26   34   
16   8   6   10   36   
26   30   4   20   48   
46   16   16   38   8   
